"","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","sub_grade","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","purpose","zip_code","addr_state","dti","inq_last_6mths","open_acc","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","collections_12_mths_ex_med","application_type","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal"
"341",2200,2200,2200," 36 months",15.61,"D1","< 1 year","RENT",40000,"Not Verified","Oct-2014","Fully Paid","other","920xx","CA",31.5,1,13,27394,88.4,27,"f",0,0,2263.91,2263.91,2200,63.91,0,0,0,0,"INDIVIDUAL","",0,0,178060
"342",16550,16550,16525," 60 months",15.31,"C2","10+ years","MORTGAGE",61503.52,"Verified","Feb-2013","Fully Paid","credit_card","917xx","CA",17.58,1,7,23733,80.2,20,"w",0,0,17776.42,17749.58,16550,1226.42,0,0,0,0,"INDIVIDUAL","",0,0,289402
"343",8000,8000,8000," 36 months",8.39,"A5","5 years","OWN",50000,"Not Verified","Sep-2014","Current","credit_card","113xx","NY",24.32,1,10,12301,60,21,"w",4690.58,4690.58,4034.24,4034.24,3309.42,724.82,0,0,0,0,"INDIVIDUAL","",0,0,17893
"344",5000,5000,4804.95623029," 36 months",13.79,"C5","1 year","OWN",85000,"Source Verified","Feb-2009","Fully Paid","educational","117xx","NY",0.42,1,4,890,6.4,6,"f",0,0,6132.02,5891.86,5000,1132.02,0,0,0,0,"INDIVIDUAL","",0,NA,NA
"345",10000,10000,9975," 60 months",18.39,"E2","2 years","RENT",60000,"Verified","Aug-2011","Fully Paid","home_improvement","799xx","TX",13.86,1,13,7704,25.9,39,"f",0,0,11595.53,11566.54,10000,1595.53,0,0,0,0,"INDIVIDUAL","",0,NA,NA
"346",15400,15400,15400," 36 months",7.26,"A4","2 years","RENT",49000,"Verified","Nov-2015","Current","debt_consolidation","545xx","WI",5.22,0,7,3440,36.2,13,"w",15015.82,15015.82,471.14,471.14,384.18,86.96,0,0,0,0,"INDIVIDUAL","",0,0,10262
"347",10000,10000,10000," 36 months",11.53,"B5","10+ years","RENT",36480,"Not Verified","Apr-2015","Fully Paid","credit_card","114xx","NY",11.05,0,8,11469,77.5,14,"f",0,0,10538.7,10538.7,10000,538.7,0,0,0,0,"INDIVIDUAL","",0,0,11469
"348",5000,5000,5000," 36 months",17.57,"D4","9 years","MORTGAGE",75000,"Source Verified","Jun-2014","Current","debt_consolidation","347xx","FL",10.32,0,8,1710,35.6,18,"w",2686.77,2686.77,3414.11,3414.11,2313.23,1100.88,0,0,0,0,"INDIVIDUAL","",0,281,145825
"349",9175,9175,9175," 36 months",17.57,"D4","10+ years","RENT",27000,"Verified","Aug-2015","Current","debt_consolidation","883xx","NM",34.58,1,9,10318,72.7,26,"w",8169.01,8169.01,1630.74,1630.74,1005.99,624.75,0,0,0,0,"INDIVIDUAL","",0,0,23101
"350",35000,35000,35000," 60 months",9.99,"B3","6 years","RENT",3e+05,"Verified","May-2015","Current","debt_consolidation","210xx","MD",11.71,0,30,16175,10.4,78,"w",31276,31276,5928.42,5928.42,3724,2204.42,0,0,0,0,"INDIVIDUAL","",0,0,146911
"351",2500,2500,2500," 36 months",12.99,"C1","10+ years","MORTGAGE",45000,"Not Verified","Jul-2014","Current","other","333xx","FL",14.69,0,6,3076,58,12,"w",1439.26,1439.26,1431.91,1431.91,1060.74,371.17,0,0,0,0,"INDIVIDUAL","",0,0,57557
"352",25000,25000,24975," 36 months",7.69,"A4","4 years","RENT",60000,"Source Verified","Oct-2014","Current","credit_card","113xx","NY",15.04,0,20,25891,33.8,33,"f",15276.79,15261.51,11697.6,11685.9,9723.21,1974.39,0,0,0,0,"INDIVIDUAL","",0,0,29950
"353",21000,21000,21000," 36 months",7.62,"A3","10+ years","MORTGAGE",187000,"Verified","Dec-2012","Fully Paid","credit_card","631xx","MO",12.63,1,28,42451,67.9,54,"f",0,0,23557.9819589,23557.98,21000,2557.98,0,0,0,0,"INDIVIDUAL","",0,0,384398
"354",8400,8400,8400," 60 months",10.37,"B3","1 year","RENT",54996,"Source Verified","Feb-2011","Current","major_purchase","191xx","PA",14.14,2,7,1016,13.9,16,"f",199.89,199.89,10589.63,10589.63,8200.1,2389.53,0,0,0,0,"INDIVIDUAL","",0,NA,NA
"355",17050,17050,17050," 60 months",22.15,"E5","4 years","RENT",38000,"Source Verified","Oct-2014","Charged Off","debt_consolidation","550xx","MN",20.56,0,5,1285,8.2,28,"w",0,0,3264.56,3264.56,1166.54,2098.02,0,0,0,0,"INDIVIDUAL","",0,0,32004
"356",6000,6000,6000," 36 months",12.12,"B3","1 year","RENT",63000,"Not Verified","Apr-2012","Fully Paid","debt_consolidation","222xx","VA",10.8,0,10,8438,76.7,12,"f",0,0,7187.70948302,7187.71,6000,1187.71,0,0,0,0,"INDIVIDUAL","",0,NA,NA
"357",6800,6800,6800," 36 months",8.18,"B1","10+ years","MORTGAGE",47800,"Source Verified","Sep-2015","Current","debt_consolidation","322xx","FL",30.18,0,9,7959,44.7,32,"w",6294.65,6294.65,637.89,637.89,505.35,132.54,0,0,0,0,"INDIVIDUAL","",0,0,157675
"358",9750,9750,9750," 36 months",11.14,"B2","1 year","MORTGAGE",62000,"Not Verified","May-2013","Charged Off","credit_card","891xx","NV",18.58,0,11,6762,40.5,15,"f",0,0,5365.51,5365.51,3411.73,1066.01,0,887.77,8.8776999982,0,"INDIVIDUAL","",0,0,28681
"359",8000,8000,8000," 36 months",8.18,"B1","3 years","MORTGAGE",85000,"Source Verified","Sep-2015","Current","credit_card","680xx","NE",5.15,0,30,7315,27,51,"w",7204.61,7204.61,1001.8,1001.8,795.39,206.41,0,0,0,0,"INDIVIDUAL","",0,0,114729
"360",35000,35000,35000," 60 months",19.72,"D5","9 years","MORTGAGE",215000,"Source Verified","Mar-2013","Current","debt_consolidation","577xx","SD",17.43,3,24,6094,26.2,62,"f",19980.4,19980.4,30398.28,30398.28,15019.61,15378.67,0,0,0,0,"INDIVIDUAL","",0,0,811664
"361",7700,7700,7700," 36 months",16.99,"D3","1 year","RENT",30000,"Source Verified","Oct-2014","Current","debt_consolidation","273xx","NC",31.2,1,8,4133,51,11,"f",5157.66,5157.66,3835.59,3835.59,2542.34,1293.25,0,0,0,0,"INDIVIDUAL","",0,0,27473
"362",4000,4000,4000," 36 months",14.16,"C2","n/a","OWN",87000,"Source Verified","Apr-2014","Current","debt_consolidation","917xx","CA",2.3,0,5,3903,90.8,10,"f",1873.42,1873.42,2877.63,2877.63,2126.58,751.05,0,0,0,0,"INDIVIDUAL","",0,0,3903
"363",22750,22750,22725," 36 months",14.98,"C3","1 year","RENT",115000,"Verified","Jan-2014","Fully Paid","debt_consolidation","116xx","NY",7.8,0,4,3557,86.8,16,"f",0,0,25296.5058625,25268.71,22750,2546.51,0,0,0,0,"INDIVIDUAL","",0,0,15914
"364",12500,12500,12500," 36 months",8.67,"B1","n/a","RENT",25000,"Verified","Feb-2015","Current","debt_consolidation","625xx","IL",33.03,1,8,10620,57.4,16,"w",9018.08,9018.08,4336.33,4336.33,3481.92,854.41,0,0,0,0,"INDIVIDUAL","",0,0,32255
"365",16000,16000,16000," 36 months",12.29,"C1","1 year","RENT",80000,"Not Verified","Sep-2015","Current","debt_consolidation","070xx","NJ",8.51,0,6,19608,54.9,6,"w",14497.99,14497.99,2112.75,2112.75,1502.01,610.74,0,0,0,0,"INDIVIDUAL","",0,0,22983
"366",19375,19375,19375," 60 months",18.99,"E1","5 years","MORTGAGE",65000,"Source Verified","Sep-2014","Current","debt_consolidation","481xx","MI",39.79,0,13,62130,92.3,36,"f",15839.81,15839.81,8040,8040,3535.19,4504.81,0,0,0,0,"INDIVIDUAL","",0,0,217824
"367",18000,18000,18000," 36 months",9.67,"B1","6 years","RENT",152250,"Source Verified","Apr-2014","Current","other","606xx","IL",2.93,1,6,15740,26.4,12,"w",8644.29,8644.29,11560.6,11560.6,9355.71,2204.89,0,0,0,0,"INDIVIDUAL","",0,0,15740
"368",10800,10800,10800," 60 months",16.24,"C5","10+ years","MORTGAGE",41500,"Source Verified","Feb-2014","Current","credit_card","129xx","NY",27.21,1,7,7717,83,23,"f",7644.72,7644.72,6072.46,6072.46,3155.28,2917.18,0,0,0,0,"INDIVIDUAL","",0,480,41090
"369",15000,15000,15000," 36 months",7.26,"A4","5 years","MORTGAGE",60000,"Not Verified","Nov-2015","Current","debt_consolidation","306xx","GA",14.68,0,11,11254,42.3,23,"w",14625.8,14625.8,458.9,458.9,374.2,84.7,0,0,0,0,"INDIVIDUAL","",0,0,119738
"370",4000,4000,4000," 36 months",13.35,"C2","1 year","RENT",90000,"Not Verified","Nov-2014","Current","debt_consolidation","550xx","MN",11.93,0,7,3669,66.7,23,"w",2630.25,2630.25,1890.51,1890.51,1369.75,520.76,0,0,0,0,"INDIVIDUAL","",0,106,71947
"371",8800,8800,8800," 36 months",10.64,"B2","7 years","RENT",40000,"Not Verified","Jul-2013","Fully Paid","debt_consolidation","722xx","AR",7.38,0,13,6459,37.6,23,"f",0,0,9664.81746336,9664.82,8800,864.82,0,0,0,0,"INDIVIDUAL","",0,0,6459
"372",3600,3600,3600," 36 months",7.12,"A3","10+ years","MORTGAGE",1e+05,"Not Verified","Oct-2014","Current","debt_consolidation","441xx","OH",18.59,1,17,16603,28.2,24,"f",2192.46,2192.46,1670.4,1670.4,1407.54,262.86,0,0,0,0,"INDIVIDUAL","",0,0,164340
"373",19000,19000,19000," 36 months",9.17,"B2","10+ years","MORTGAGE",172000,"Source Verified","Dec-2015","Current","debt_consolidation","464xx","IN",6.18,1,23,20277,30.1,32,"w",18539.49,18539.49,586.34,586.34,460.51,125.83,0,0,0,0,"INDIVIDUAL","",0,0,115781
"374",13725,13725,13625," 36 months",15.61,"C5","1 year","MORTGAGE",43680,"Verified","May-2014","Current","debt_consolidation","134xx","NY",19.97,1,9,8950,66,25,"w",6891.46,6841.25,9598,9528.07,6833.54,2764.46,0,0,0,0,"INDIVIDUAL","",0,0,111550
"375",8000,8000,8000," 36 months",11.99,"B5","n/a","RENT",48000,"Verified","Jan-2015","In Grace Period","debt_consolidation","750xx","TX",8.98,0,9,6264,45.4,27,"f",5851.59,5851.59,2909.16,2909.16,2148.41,760.75,0,0,0,0,"INDIVIDUAL","",0,0,7400
"376",35000,35000,35000," 36 months",16.99,"D3","6 years","MORTGAGE",110000,"Verified","Apr-2015","Current","debt_consolidation","605xx","IL",25.53,0,11,40569,60.5,19,"w",27834.45,27834.45,11163.05,11163.05,7165.55,3997.5,0,0,0,0,"INDIVIDUAL","",0,0,415240
"377",21000,21000,21000," 60 months",13.18,"C3","10+ years","RENT",270000,"Source Verified","Nov-2015","Current","debt_consolidation","100xx","NY",3.88,0,9,32814,41.3,36,"f",20499.04,20499.04,944.14,944.14,500.96,443.18,0,0,0,0,"INDIVIDUAL","",0,0,32814
"378",12000,12000,12000," 36 months",7.26,"A4","10+ years","MORTGAGE",62000,"Not Verified","Aug-2015","Current","credit_card","700xx","LA",31.63,1,14,8270,50.7,21,"w",10791.65,10791.65,1478.16,1478.16,1208.35,269.81,0,0,0,0,"INDIVIDUAL","",0,0,142826
"379",6600,6600,6600," 36 months",17.27,"C5","1 year","RENT",26000,"Not Verified","May-2013","Fully Paid","credit_card","622xx","IL",15.78,1,13,4010,62.7,30,"f",0,0,7667.31322834,7667.31,6600,1067.31,0,0,0,0,"INDIVIDUAL","",0,0,27617
"380",9600,9600,9600," 36 months",15.61,"D1","3 years","MORTGAGE",54000,"Verified","Oct-2014","Fully Paid","debt_consolidation","750xx","TX",29.64,4,13,9823,37,22,"w",0,0,10499.25,10499.25,9600,899.25,0,0,0,0,"INDIVIDUAL","",0,0,163191
"381",8000,8000,8000," 36 months",13.66,"C3","9 years","RENT",86500,"Source Verified","Jan-2015","Current","credit_card","201xx","VA",15.32,1,15,17285,43.4,34,"f",4567.16,4567.16,4253.18,4253.18,3432.84,820.34,0,0,0,0,"INDIVIDUAL","",0,0,40954
"382",21000,21000,21000," 36 months",11.99,"B3","7 years","MORTGAGE",150000,"Source Verified","Oct-2013","Charged Off","home_improvement","125xx","NY",16.31,2,20,70859,68.8,50,"f",0,0,2091.9,2091.9,1477.19,614.71,0,0,0,0,"INDIVIDUAL","",0,0,395394
"383",20000,20000,19995.3314921," 36 months",13.98,"C3","3 years","RENT",80000,"Source Verified","Jul-2010","Fully Paid","wedding","809xx","CO",14.28,2,8,7731,42.7,23,"f",0,0,23585.78,23578.98,19999.99,3585.79,0,0,0,0,"INDIVIDUAL","",0,NA,NA
"384",14000,14000,14000," 60 months",9.17,"B2","10+ years","RENT",52663,"Source Verified","Apr-2015","Fully Paid","debt_consolidation","360xx","AL",23.96,0,15,25851,56.7,52,"w",0,0,14583.67,14583.67,14000,583.67,0,0,0,0,"INDIVIDUAL","",0,0,67653
"385",15000,15000,15000," 36 months",12.29,"C1","10+ years","RENT",38000,"Source Verified","Jul-2015","Current","credit_card","891xx","NV",29.88,0,14,8302,28.9,25,"w",12865.96,12865.96,2981.32,2981.32,2134.04,847.28,0,0,0,0,"INDIVIDUAL","",0,150,41977
"386",28800,28800,28800," 60 months",9.17,"B2","3 years","MORTGAGE",95000,"Verified","Jul-2015","Current","home_improvement","974xx","OR",26.52,0,13,51359,76.9,34,"w",26870.03,26870.03,2986.43,2986.43,1929.97,1056.46,0,0,0,0,"INDIVIDUAL","",0,0,296728
"387",7000,7000,7000," 36 months",8.39,"A5","5 years","RENT",34000,"Verified","May-2014","Current","other","945xx","CA",5.33,0,7,3180,21.8,12,"f",3328.52,3328.52,4412.4,4412.4,3671.48,740.92,0,0,0,0,"INDIVIDUAL","",0,0,3180
"388",35000,35000,35000," 60 months",12.69,"C2","1 year","RENT",130000,"Verified","Mar-2015","Current","debt_consolidation","303xx","GA",14.62,1,18,15486,46.1,24,"w",30587.1,30587.1,7858.85,7858.85,4412.9,3445.95,0,0,0,0,"INDIVIDUAL","",0,0,37485
"389",6000,6000,6000," 36 months",12.29,"C1","6 years","RENT",55000,"Verified","Apr-2015","Current","debt_consolidation","941xx","CA",17.56,0,8,27394,97.8,13,"f",4699.6,4699.6,1796.98,1796.98,1300.4,496.58,0,0,0,0,"INDIVIDUAL","",0,0,27394
"390",11200,11200,11200," 60 months",13.99,"C4","10+ years","RENT",78000,"Source Verified","Apr-2015","Current","credit_card","142xx","NY",6.8,1,10,1370,65.2,46,"w",10116.75,10116.75,2075.7,2075.7,1083.25,992.45,0,0,0,0,"INDIVIDUAL","",0,0,32576
"391",2800,2800,2800," 36 months",13.67,"B5","5 years","RENT",45000,"Not Verified","Dec-2013","Current","vacation","300xx","GA",14.53,0,8,2146,17.9,32,"f",979.56,979.56,2381.17,2381.17,1820.44,560.73,0,0,0,0,"INDIVIDUAL","",0,0,36169
"392",26000,26000,25975," 60 months",25.89,"G3","2 years","RENT",110000,"Verified","Feb-2015","Fully Paid","house","946xx","CA",10.45,0,8,8413,67.8,33,"f",0,0,27502.69,27476.25,26000,1502.69,0,0,0,0,"INDIVIDUAL","",0,0,173480
"393",8000,8000,8000," 36 months",8.9,"A5","< 1 year","RENT",55000,"Source Verified","Dec-2013","Fully Paid","credit_card","974xx","OR",27.23,0,14,6775,69.8,37,"f",0,0,8813.5194952,8813.52,8000,813.52,0,0,0,0,"INDIVIDUAL","",0,1719,125655
"394",9000,9000,9000," 36 months",12.99,"C1","6 years","MORTGAGE",57000,"Not Verified","Aug-2011","Fully Paid","debt_consolidation","925xx","CA",15.71,3,9,10455,56.8,22,"f",0,0,10025.2,10025.2,8999.99,1025.21,0,0,0,0,"INDIVIDUAL","",0,NA,NA
"395",21075,21075,21025," 60 months",24.5,"F3","2 years","MORTGAGE",47000,"Verified","Apr-2015","Current","debt_consolidation","082xx","NJ",19.54,3,11,24443,66,32,"f",19509.41,19463.12,4870.67,4859.11,1565.59,3305.08,0,0,0,0,"INDIVIDUAL","",0,0,272264
"396",9000,9000,9000," 36 months",13.98,"C1","10+ years","MORTGAGE",63000,"Source Verified","Feb-2014","Charged Off","debt_consolidation","179xx","PA",19.64,0,10,3844,63,31,"w",0,0,5245.12,5245.12,3988.56,1256.56,0,0,0,0,"INDIVIDUAL","",0,0,69471
"397",24125,24125,24125," 60 months",23.99,"F3","1 year","MORTGAGE",60300,"Source Verified","Oct-2015","Current","debt_consolidation","600xx","IL",26.77,0,8,5992,19.6,34,"w",23697.59,23697.59,1355.63,1355.63,427.41,928.22,0,0,0,0,"INDIVIDUAL","",0,0,41561
"398",10000,10000,10000," 36 months",12.69,"C2","< 1 year","RENT",65000,"Verified","Oct-2015","Current","debt_consolidation","212xx","MD",3.42,0,4,6964,44.4,6,"w",9303.59,9303.59,992.25,992.25,696.41,295.84,0,0,0,0,"INDIVIDUAL","",0,0,6964
"399",2000,2000,2000," 36 months",12.49,"B4","8 years","MORTGAGE",40000,"Verified","Mar-2014","Current","debt_consolidation","913xx","CA",21.81,2,16,2654,16.7,28,"f",924.56,924.56,1404.9,1404.9,1075.44,329.46,0,0,0,0,"INDIVIDUAL","",0,0,20154
"400",7200,7200,7200," 36 months",15.61,"C4","5 years","RENT",125000,"Verified","Feb-2014","Fully Paid","vacation","331xx","FL",25.24,1,29,28047,53.9,63,"f",0,0,8116.24,8116.24,7200,916.24,0,0,0,0,"INDIVIDUAL","",0,0,290531
"401",8000,8000,8000," 36 months",12.99,"C1","4 years","RENT",24000,"Verified","Nov-2014","Current","credit_card","773xx","TX",33.75,1,8,6124,54.2,16,"w",5250.89,5250.89,3767.51,3767.51,2749.11,1018.4,0,0,0,0,"INDIVIDUAL","",0,955,27416
"402",11125,11125,11125," 60 months",18.25,"E1","n/a","MORTGAGE",58000,"Not Verified","Jul-2015","Current","debt_consolidation","627xx","IL",16.74,1,13,17507,68.7,45,"w",10533.13,10533.13,1408.82,1408.82,591.87,816.95,0,0,0,0,"INDIVIDUAL","",0,3288,235294
"403",6000,6000,6000," 36 months",13.33,"C3","3 years","RENT",13560,"Verified","Oct-2015","Current","debt_consolidation","491xx","MI",26.64,0,7,6383,33.8,17,"f",5586.03,5586.03,600.47,600.47,413.97,186.5,0,0,0,0,"INDIVIDUAL","",0,0,44394
"404",21000,21000,20950," 36 months",11.48,"B2","10+ years","OWN",130000,"Not Verified","Dec-2009","Fully Paid","wedding","950xx","CA",23.43,1,6,682,3.3,15,"f",0,0,21201.06,21150.58,21000,201.06,0,0,0,0,"INDIVIDUAL","",0,NA,NA
"405",6000,6000,6000," 36 months",13.66,"C3","7 years","RENT",45000,"Not Verified","Feb-2015","Current","debt_consolidation","189xx","PA",19.87,0,10,6848,60,17,"f",4418.44,4418.44,2240.33,2240.33,1581.56,658.77,0,0,0,0,"INDIVIDUAL","",0,0,16437
"406",14700,14700,14700," 36 months",17.86,"D5","7 years","RENT",41000,"Not Verified","Jan-2015","Current","debt_consolidation","700xx","LA",20.99,1,12,5173,41.4,25,"f",10638.68,10638.68,6335.75,6335.75,4061.32,2274.43,0,0,0,0,"INDIVIDUAL","",0,761,34787
"407",28000,28000,28000," 36 months",13.98,"C3","1 year","MORTGAGE",122000,"Source Verified","Oct-2014","Current","debt_consolidation","234xx","VA",8.46,0,9,14990,81.3,16,"w",18477.88,18477.88,13350.45,13350.45,9522.12,3828.33,0,0,0,0,"INDIVIDUAL","",0,88,288937
"408",11000,11000,11000," 36 months",8.39,"A5","10+ years","MORTGAGE",52000,"Not Verified","Jun-2014","Current","credit_card","765xx","TX",29.98,0,8,7954,73.6,22,"f",5844.29,5844.29,6240.42,6240.42,5155.71,1084.71,0,0,0,0,"INDIVIDUAL","",0,0,109631
"409",3000,3000,3000," 36 months",6.62,"A2","10+ years","MORTGAGE",70000,"Not Verified","Aug-2013","Fully Paid","car","430xx","OH",14.69,1,12,2904,3.9,25,"f",0,0,3232.37340564,3232.37,3000,232.37,0,0,0,0,"INDIVIDUAL","",0,0,283516
"410",24000,24000,24000," 60 months",12.29,"C1","8 years","MORTGAGE",70000,"Verified","Apr-2015","Current","debt_consolidation","115xx","NY",6.1,2,6,12623,77.9,14,"w",21581.84,21581.84,4266.43,4266.43,2418.16,1848.27,0,0,0,0,"INDIVIDUAL","",0,0,12623
"411",4000,4000,4000," 36 months",13.35,"C2","7 years","RENT",24000,"Not Verified","May-2014","Fully Paid","debt_consolidation","917xx","CA",20.9,1,8,3624,28.1,9,"f",0,0,4680.41,4680.41,4000,680.41,0,0,0,0,"INDIVIDUAL","",0,0,14505
"412",12500,12500,12500," 36 months",6.03,"A1","10+ years","MORTGAGE",83000,"Not Verified","Aug-2014","Current","credit_card","408xx","KY",12.9,0,12,10301,35.5,22,"w",6877.54,6877.54,6467.65,6467.65,5622.46,845.19,0,0,0,0,"INDIVIDUAL","",0,428,227838
"413",2200,2200,2200," 36 months",12.69,"C2","5 years","MORTGAGE",43000,"Not Verified","May-2015","Current","other","396xx","MS",15.51,0,10,4509,41.6,15,"f",1780.44,1780.44,587.3,587.3,419.56,167.74,0,0,0,0,"INDIVIDUAL","",0,0,4509
"414",12875,12875,12875," 60 months",18.84,"E2","4 years","MORTGAGE",36000,"Source Verified","Apr-2015","Current","home_improvement","857xx","AZ",27.23,2,12,23696,25,23,"f",11621.84,11621.84,2982.26,2982.26,1253.16,1729.1,0,0,0,0,"INDIVIDUAL","",0,218,190101
"415",8000,8000,8000," 60 months",20.25,"F1","1 year","RENT",31200,"Source Verified","Jun-2011","Charged Off","debt_consolidation","405xx","KY",21.12,0,14,13629,76.8,26,"f",0,0,9935.75,9935.75,4962.32,4382.92,15,575.51,103.5918,0,"INDIVIDUAL","",0,NA,NA
"416",15000,15000,15000," 60 months",13.99,"C4","4 years","OWN",87000,"Not Verified","Jul-2015","Current","debt_consolidation","700xx","LA",17.99,2,14,7587,13.8,38,"w",13924.63,13924.63,2082.04,2082.04,1075.37,1006.67,0,0,0,0,"INDIVIDUAL","",0,0,164372
"417",15000,15000,15000," 36 months",13.67,"B5","6 years","MORTGAGE",45000,"Verified","May-2012","Fully Paid","small_business","140xx","NY",20.8,1,5,4315,83,18,"f",0,0,18483.8670057,18483.87,15000,3458.36,25.51,0,0,0,"INDIVIDUAL","",0,NA,NA
"418",22800,22800,22800," 36 months",7.9,"A4","7 years","MORTGAGE",90000,"Source Verified","Dec-2012","Fully Paid","debt_consolidation","144xx","NY",25.96,0,22,19711,49,63,"f",0,0,25521.7812544,25521.78,22800,2721.78,0,0,0,0,"INDIVIDUAL","",0,0,214494
"419",12000,12000,12000," 60 months",15.61,"D1","2 years","MORTGAGE",80000,"Source Verified","Sep-2015","Current","debt_consolidation","442xx","OH",37.64,1,23,30181,36.5,36,"f",11456.55,11456.55,1146.95,1146.95,543.45,603.5,0,0,0,0,"INDIVIDUAL","",0,0,211612
"420",20000,20000,20000," 60 months",19.99,"E4","7 years","OWN",128500,"Source Verified","Jul-2015","Current","debt_consolidation","088xx","NJ",5.84,0,8,19375,65.5,20,"f",18770.15,18770.15,3189.18,3189.18,1229.85,1959.33,0,0,0,0,"INDIVIDUAL","",0,0,175635
"421",10000,10000,10000," 36 months",14.16,"C2","5 years","RENT",36000,"Source Verified","Feb-2014","Late (16-30 days)","debt_consolidation","325xx","FL",31.8,1,9,5532,67,13,"f",4683.89,4683.89,7193.76,7193.76,5316.11,1877.65,0,0,0,0,"INDIVIDUAL","",0,0,20882
"422",20000,20000,20000," 60 months",12.29,"C1","8 years","MORTGAGE",96000,"Source Verified","Mar-2015","Current","debt_consolidation","894xx","NV",32.08,0,17,16239,55,49,"w",17454.93,17454.93,4450.99,4450.99,2545.07,1905.92,0,0,0,0,"INDIVIDUAL","",0,0,218620
"423",20000,20000,19750," 36 months",19.99,"E1","3 years","RENT",90000,"Source Verified","May-2012","Fully Paid","credit_card","801xx","CO",6.11,0,7,22375,70.1,8,"f",0,0,24247.12,23944.04,20000,4247.12,0,0,0,0,"INDIVIDUAL","",0,NA,NA
"424",16000,16000,16000," 36 months",12.99,"B5","7 years","MORTGAGE",72800,"Source Verified","Mar-2014","Current","home_improvement","730xx","OK",5.09,2,16,3026,13.6,18,"f",6967.41,6967.41,11858.66,11858.66,9032.59,2826.07,0,0,0,0,"INDIVIDUAL","",0,643,3026
"425",15000,15000,15000," 60 months",9.99,"B3","1 year","MORTGAGE",131000,"Not Verified","Aug-2015","Current","credit_card","770xx","TX",14.08,3,15,57913,62.5,34,"w",14014.91,14014.91,1584.88,1584.88,985.09,599.79,0,0,0,0,"INDIVIDUAL","",0,0,350091
"426",2250,2250,2250," 36 months",13.49,"C1","6 years","RENT",16000,"Source Verified","Dec-2011","Fully Paid","credit_card","850xx","AZ",18.75,0,7,7528,61.2,14,"f",0,0,2746.89544881,2746.9,2250,496.9,0,0,0,0,"INDIVIDUAL","",0,NA,NA
"427",24000,24000,24000," 60 months",14.31,"C4","5 years","MORTGAGE",72000,"Source Verified","Jan-2015","Current","debt_consolidation","460xx","IN",15.4,0,13,7107,74.8,18,"w",20460.49,20460.49,6728.64,6728.64,3539.51,3189.13,0,0,0,0,"INDIVIDUAL","",0,1609,169004
"428",15000,15000,15000," 36 months",10.99,"B4","10+ years","MORTGAGE",75000,"Verified","Oct-2015","Current","debt_consolidation","293xx","SC",29.18,1,20,12330,30.7,39,"f",14289.49,14289.49,972.86,972.86,710.51,262.35,0,0,0,0,"INDIVIDUAL","",0,0,166441
"429",35000,35000,35000," 36 months",14.65,"C5","10+ years","MORTGAGE",174000,"Not Verified","Apr-2015","Current","credit_card","530xx","WI",18.05,2,24,52244,46,43,"f",28486.69,28486.69,9629.91,9629.91,6513.31,3116.6,0,0,0,0,"INDIVIDUAL","",0,0,361983
"430",10000,10000,10000," 36 months",6.03,"A1","1 year","RENT",39500,"Not Verified","Mar-2014","Current","credit_card","142xx","NY",22.64,0,9,11214,49.4,25,"f",4104.49,4104.49,6695.92,6695.92,5895.51,800.41,0,0,0,0,"INDIVIDUAL","",0,0,70662
"431",7000,7000,7000," 36 months",12.29,"C1","8 years","RENT",46000,"Not Verified","Feb-2015","Current","debt_consolidation","211xx","MD",27.99,0,9,6706,70.6,9,"f",5126.34,5126.34,2556.33,2556.33,1873.66,682.67,0,0,0,0,"INDIVIDUAL","",0,0,35556
"432",17500,17500,17500," 60 months",18.25,"E1","5 years","MORTGAGE",49900,"Verified","Oct-2015","Current","debt_consolidation","662xx","KS",11.42,1,15,11845,65.8,27,"w",16949.84,16949.84,1304.82,1304.82,550.16,754.66,0,0,0,0,"INDIVIDUAL","",0,0,197172
"433",6000,6000,6000," 36 months",22.15,"E5","6 years","RENT",65000,"Source Verified","Jul-2014","Current","other","941xx","CA",24.74,0,12,23984,95.6,22,"w",3489.39,3489.39,4132.98,4132.98,2510.61,1622.37,0,0,0,0,"INDIVIDUAL","",0,0,47235
"434",23100,23100,23100," 60 months",19.99,"E4","10+ years","MORTGAGE",121183,"Verified","Jul-2015","Current","debt_consolidation","985xx","WA",34.93,4,20,27035,75.1,47,"w",21926.12,21926.12,3008.14,3008.14,1173.88,1834.26,0,0,0,0,"INDIVIDUAL","",0,0,454215
"435",20325,20325,20300," 60 months",25.99,"G4","8 years","MORTGAGE",1e+05,"Source Verified","Mar-2014","Current","debt_consolidation","967xx","HI",22.96,0,6,6490,55,20,"f",15911.44,15891.87,12776.82,12761.1,4413.56,8363.26,0,0,0,0,"INDIVIDUAL","",0,0,649058
"436",23000,23000,23000," 36 months",14.09,"B5","3 years","RENT",55000,"Verified","Feb-2013","Charged Off","credit_card","750xx","TX",14.25,0,6,19924,90.2,18,"f",0,0,20458.54,20458.54,14227.5,4647.66,0,1583.38,285.008399996,0,"INDIVIDUAL","",0,0,19924
